year,ignore,temperature,percentile,scenario,color_val
1997.04,,0.556,17,grey,"rgb(100,100,100)"
1998.04,,0.567,17,grey,"rgb(100,100,100)"
1999.04,,0.577,17,grey,"rgb(100,100,100)"
2000.04,,0.588,17,grey,"rgb(100,100,100)"
2001.04,,0.599,17,grey,"rgb(100,100,100)"
2002.04,,0.61,17,grey,"rgb(100,100,100)"
2003.04,,0.622,17,grey,"rgb(100,100,100)"
2004.04,,0.634,17,grey,"rgb(100,100,100)"
2005.04,,0.647,17,grey,"rgb(100,100,100)"
2006.04,,0.66,17,grey,"rgb(100,100,100)"
2007.04,,0.673,17,grey,"rgb(100,100,100)"
2008.04,,0.687,17,grey,"rgb(100,100,100)"
2009.04,,0.701,17,grey,"rgb(100,100,100)"
2010.04,,0.714,17,grey,"rgb(100,100,100)"
2011.04,,0.727,17,grey,"rgb(100,100,100)"
2012.04,,0.742,17,grey,"rgb(100,100,100)"
2013.04,,0.757,17,grey,"rgb(100,100,100)"
2014.04,,0.773,17,grey,"rgb(100,100,100)"
2015.04,,0.789,17,grey,"rgb(100,100,100)"
2016.04,,0.807,17,grey,"rgb(100,100,100)"
2017.04,,0.826,17,grey,"rgb(100,100,100)"
1850.04,,-0.035,83,grey,"rgb(100,100,100)"
1851.04,,-0.033,83,grey,"rgb(100,100,100)"
1852.04,,-0.032,83,grey,"rgb(100,100,100)"
1853.04,,-0.03,83,grey,"rgb(100,100,100)"
1854.04,,-0.029,83,grey,"rgb(100,100,100)"
1855.04,,-0.029,83,grey,"rgb(100,100,100)"
1856.04,,-0.029,83,grey,"rgb(100,100,100)"
1857.04,,-0.029,83,grey,"rgb(100,100,100)"
1858.04,,-0.028,83,grey,"rgb(100,100,100)"
1859.04,,-0.027,83,grey,"rgb(100,100,100)"
1860.04,,-0.028,83,grey,"rgb(100,100,100)"
1861.04,,-0.029,83,grey,"rgb(100,100,100)"
1862.04,,-0.029,83,grey,"rgb(100,100,100)"
1863.04,,-0.03,83,grey,"rgb(100,100,100)"
1864.04,,-0.029,83,grey,"rgb(100,100,100)"
1865.04,,-0.029,83,grey,"rgb(100,100,100)"
1866.04,,-0.028,83,grey,"rgb(100,100,100)"
1867.04,,-0.027,83,grey,"rgb(100,100,100)"
1868.04,,-0.026,83,grey,"rgb(100,100,100)"
1869.04,,-0.024,83,grey,"rgb(100,100,100)"
1870.04,,-0.022,83,grey,"rgb(100,100,100)"
1871.04,,-0.02,83,grey,"rgb(100,100,100)"
1872.04,,-0.018,83,grey,"rgb(100,100,100)"
1873.04,,-0.016,83,grey,"rgb(100,100,100)"
1874.04,,-0.013,83,grey,"rgb(100,100,100)"
1875.04,,-0.01,83,grey,"rgb(100,100,100)"
1876.04,,-0.007,83,grey,"rgb(100,100,100)"
1877.04,,-0.004,83,grey,"rgb(100,100,100)"
1878.04,,-0.002,83,grey,"rgb(100,100,100)"
1879.04,,0,83,grey,"rgb(100,100,100)"
1880.04,,0.002,83,grey,"rgb(100,100,100)"
1881.04,,0.004,83,grey,"rgb(100,100,100)"
1882.04,,0.005,83,grey,"rgb(100,100,100)"
1883.04,,0.007,83,grey,"rgb(100,100,100)"
1884.04,,0.008,83,grey,"rgb(100,100,100)"
1885.04,,0.011,83,grey,"rgb(100,100,100)"
1886.04,,0.013,83,grey,"rgb(100,100,100)"
1887.04,,0.017,83,grey,"rgb(100,100,100)"
1888.04,,0.022,83,grey,"rgb(100,100,100)"
1889.04,,0.027,83,grey,"rgb(100,100,100)"
1890.04,,0.031,83,grey,"rgb(100,100,100)"
1891.04,,0.035,83,grey,"rgb(100,100,100)"
1892.04,,0.038,83,grey,"rgb(100,100,100)"
1893.04,,0.042,83,grey,"rgb(100,100,100)"
1894.04,,0.046,83,grey,"rgb(100,100,100)"
1895.04,,0.048,83,grey,"rgb(100,100,100)"
